Cafenummer;Naam;Adres;Postcode;Plaats;PostadresAdres;PostadresPostcode;PostadresPlaats;Telefoon;Website;Emailadres;Deelname;NieuwDitSeizoen
C200;Cornerhouse;"Ommestraat 2";"4041 AP";Kesteren;"Ommestraat 2";"4041 AP";Kesteren;0488-481942;;;Ja;Nee
C121;"Café De Uitspraak";"Dorpsplein 6";"4041 GH";Kesteren;"Dorpsplein 6";"4041 GH";Kesteren;06-55981068;;;Nee;Nee
C054;"Sjonnie's Café";"Dalwagenseweg 3";"4043 MS";Opheusden;"Dalwagenseweg 3";"4043 MS";Opheusden;0488-443644;;;Nee;Nee
C262;"IJsclub de Hoeken";"Saneringsweg 3A";"4053 JK";IJzendoorn;"Saneringsweg 3A";"4053 JK";IJzendoorn;0611918894;;;Nee;Nee
C118;"Gerrit van Riemsdijk Huis";"J.R. Zeemanstraat 12 A";"4053 JN";IJzendoorn;"J.R. Zeemanstraat 12 A";"4053 JN";IJzendoorn;0344-643311;;;Ja;Nee
C151;"Shooters Boxmeer";"Spoorstraat 18";"5331 CC";Boxmeer;"Spoorstraat 18";"5331 CC";Boxmeer;0485-522247;;;Nee;Nee
C265;"Café - Bar de Coehoorn";"Maasstraat 14";"5361 GG";Grave;"Maasstraat 14";"5361 GG";Grave;"0486 471 028";;;Ja;Nee
C234;"De Eeght";"Bossestraat 8";"5374 HT";Schaijk;"Bossestraat 8";"5374 HT";Schaijk;0412-634997;;;Nee;Nee
C249;"Eurotrade Orsouw";"Palmstraat 1b";"5374 PC";Schaijk;"Palmstraat 1b";"5374 PC";Schaijk;06-30413121;;;Nee;Nee
C120;"Gasterij 't Koetshuis";"Heijtmorgen 1";"5375 HL";Reek;"Heijtmorgen 1";"5375 HL";Reek;0486-472317;;;Nee;Nee
C160;Taurus;"Grotestraat 56";"5431 DL";Cuijk;"Grotestraat 56";"5431 DL";Cuijk;0485-312070;;;Nee;Nee
C147;"Café Spinners";"Grotestraat 54";"5431 DR";Cuijk;"Grotestraat 54";"5431 DR";Cuijk;06-46063985;;;Ja;Nee
C069;"'t Wapen van Beers";"Grotestraat 2";"5437 AS";Beers;"Grotestraat 2";"5437 AS";Beers;0485-312226;;;Nee;Nee
C215;"Cafe Libre";"Langeboomseweg 73";"5451 JH";Mill;"Langeboomseweg 73";"5451 JH";Mill;0485-470070;;;Nee;Nee
C189;"D'n Bens";"Dominikanenstraat 34";"5453 JN";Langenboom;"Dominikanenstraat 34";"5453 JN";Langenboom;0486-431202;;;Nee;Nee
C169;"'t Vertrek";"Stationsweg 12";"5831 CR";Boxmeer;"Stationsweg 12";"5831 CR";Boxmeer;0485-577017;;;Nee;Nee
C113;Sportvillage;"Sportlaan 1";"5831 DA";Boxmeer;"Sportlaan 1";"5831 DA";Boxmeer;0485-573997;;;Nee;Nee
C134;"'t Hoogkoor";"Koorstraat 1";"5831 GH";Boxmeer;"Koorstraat 1";"5831 GH";Boxmeer;0485-573173;;;Nee;Nee
C240;"Pub Esser";"Steenstraat 37";"5831 JA";Boxmeer;"Steenstraat 37";"5831 JA";Boxmeer;06-55385020;;;Ja;Nee
C029;Dubbus;"Steenstraat 105";"5831 JD";Boxmeer;"Steenstraat 105";"5831 JD";Boxmeer;0485-571200;;;Nee;Nee
C116;Retro;"Steenstraat 105";"5831 JD";Boxmeer;"Steenstraat 105";"5831 JD";Boxmeer;0485-571200;;;Nee;Nee
C168;"Café-zaal ?t Centrum";"Steenstraat 56";"5831 JG";Boxmeer;"Steenstraat 56";"5831 JG";Boxmeer;0485-324187;;;Ja;Nee
C129;"De Piek";"Beugenseweg 1";"5831 LP";Boxmeer;"Beugenseweg 1";"5831 LP";Boxmeer;0485-521054;;;Nee;Nee
C010;"De Flip";"Faunalaan 68";"5831 MB";Boxmeer;"Faunalaan 68";"5831 MB";Boxmeer;0485-575608;;;Nee;Nee
C224;"de Gouden Leeuw";"Grotestraat 54";"5836 AG";Sambeek;"Grotestraat 54";"5836 AG";Sambeek;0485-572264;;;Ja;Nee
C062;"'t Kapelleke";"Langstraat 2";"5851 BE";Afferden;"Langstraat 2";"5851 BE";Afferden;0485-531099;;;Nee;Nee
C270;"Café de Pruuver";"Langstraat 4";"5851 BE";Afferden;"Langstraat 4";"5851 BE";Afferden;0638291058;;;Ja;Nee
C144;"Café-Zaal De Heidebloem";"Gochsedijk 4";"5853 AC";Siebengewald;"Gochsedijk 4";"5853 AC";Siebengewald;0485-441513;;;Ja;Nee
C031;"Den Asseldonk";"Jeroen Boschstraat 34";"5854 CZ";"Nieuw Bergen";"Jeroen Boschstraat 34";"5854 CZ";"Nieuw Bergen";0485-342842;;;Nee;Nee
C070;"Tenniscentre De Maaskant";"De Flammert 1012";"5854 NA";"Nieuw Bergen";"De Flammert 1012";"5854 NA";"Nieuw Bergen";0485-342727;;;Nee;Nee
C162;"Just Inn";"Siebengewaldseweg 47";"5854 PA";"Nieuw Bergen";"Siebengewaldseweg 47";"5854 PA";"Nieuw Bergen";06-52718658;;;Nee;Nee
C130;"'t Veerhuis";"Aijen 4a";"5854 PR";Bergen;"Aijen 4a";"5854 PR";Bergen;0485-343360;;;Nee;Nee
C229;"Café De Beurs";"Lange Hezelstraat 94";"6511 CN";Nijmegen;"Lange Hezelstraat 94";"6511 CN";Nijmegen;024-3225150;;;Ja;Nee
C003;jojo;"Bloemerstraat 131";"6511 EH";Nijmegen;"Bloemerstraat 131";"6511 EH";Nijmegen;06-10190381;;;Nee;Nee
C136;"Feestcafé de Gezelligheid";"Bloemerstraat 46";"6511 EK";Nijmegen;"Bloemerstraat 46";"6511 EK";Nijmegen;0611287241;;welkom@feestcafedegezelligheid.nl;Ja;Nee
C052;Shamrock;"Smetiusstraat 15";"6511 ER";Nijmegen;"Smetiusstraat 15";"6511 ER";Nijmegen;024-3244313;;;Nee;Nee
C242;"Café De Muus";"Smetiusstraat 15";"6511 ER";Niijmegen;"Smetiusstraat 15";"6511 ER";Niijmegen;06-14433608;;;Nee;Nee
C194;"Irish Pub The Shamrock";"Smetiusstraat 17";"6511 ER";Nijmegen;"Smetiusstraat 17";"6511 ER";Nijmegen;;;;Nee;Nee
C040;Life;"Smetiusstraat 3";"6511 ER";Nijmegen;"Smetiusstraat 3";"6511 ER";Nijmegen;024-3229903;;;Nee;Nee
C241;"Next Level";"Smetiusstraat 9";"6511 ER";Nijmegen;"Smetiusstraat 9";"6511 ER";Nijmegen;06-57101241;;;Nee;Nee
C096;"D'n Aloë";"Smetiusstraat 15";"6511 ES";Nijmegen;"Smetiusstraat 15";"6511 ES";Nijmegen;06-46024940;;;Nee;Nee
C152;"Café De Overkant";"Smetiusstraat 28";"6511 ET";Nijmegen;"Smetiusstraat 28";"6511 ET";Nijmegen;06-42941232;;;Nee;Nee
C018;"De Overkant";"Smetiusstraat 28";"6511 ET";Nijmegen;"Smetiusstraat 28";"6511 ET";Nijmegen;06-43092072;;;Nee;Nee
C098;"De Sportcentrale";"In de Betouwstraat 38";"6511 GD";Nijmegen;"In de Betouwstraat 38";"6511 GD";Nijmegen;024-3233666;;;Nee;Nee
C167;"De Meester";"In de Betouwstraat 44-46";"6511 GD";Nijmegen;"In de Betouwstraat 44-46";"6511 GD";Nijmegen;06-52681670;;;Nee;Nee
C077;"Van Rijn";"Molenstraat 103a";"6511 HD";Nijmegen;"Molenstraat 103a";"6511 HD";Nijmegen;024-3888086;;;Nee;Nee
C081;Wammus;"Tweede Walstraat 165";"6511 LT";Nijmegen;"Tweede Walstraat 165";"6511 LT";Nijmegen;024-3237384;;;Nee;Nee
C179;"Café Jo Jo";"van Welderenstraat 87";"6511 ME";Nijmegen;"van Welderenstraat 87";"6511 ME";Nijmegen;024-8489840;;;Ja;Nee
C007;2CV;"van Welderenstraat 87";"6511 ME";Nijmegen;"van Welderenstraat 87";"6511 ME";Nijmegen;024-3229729;;;Nee;Nee
C047;"Café Pool";"Van Welderenstraat 99";"6511 MG";Nijmegen;"Van Welderenstraat 99";"6511 MG";Nijmegen;024-3604355;;;Ja;Nee
C254;"Café 024";"Van Welderenstraat 126";"6511 MV";Nijmegen;"Van Welderenstraat 126";"6511 MV";Nijmegen;06-42966528;;;Nee;Nee
C005;"Café Brandpunt";"Wintersoord 20";"6511 RR";Nijmegen;"Wintersoord 20";"6511 RR";Nijmegen;024-3220938;;;Nee;Nee
C036;"Het 1 Euro Café";"Wintersoord 26a";"6511 RR";Nijmegen;"Wintersoord 26a";"6511 RR";Nijmegen;024-3229751;;;Nee;Nee
C097;"De Bekenees";"Kelfkensbos 28";"6511 TB";Nijmegen;"Kelfkensbos 28";"6511 TB";Nijmegen;024-3602563;;;Nee;Nee
C112;"Nijmeegs Euro Paleis";"Platenmakersstraat 3";"6511 TZ";Nijmegen;"Platenmakersstraat 3";"6511 TZ";Nijmegen;06-18217485;;;Nee;Nee
C016;"Café De Kroeg";"Grotestraat 17";"6511 VB";Nijmegen;"Grotestraat 17";"6511 VB";Nijmegen;024-3233508;;;Nee;Nee
C073;"The Q";"Grotestraat 17";"6511 VB";Nijmegen;"Grotestraat 17";"6511 VB";Nijmegen;024-3239444;;;Nee;Nee
C184;"Café Lenthe";"Grotestraat 5";"6511 VB";Nijmegen;"Grotestraat 5";"6511 VB";Nijmegen;"06 51187463";;;Nee;Nee
C204;"Stadscafé Tout";"Grotestraat 6";"6511 VD";Nijmegen;"Grotestraat 6";"6511 VD";Nijmegen;06-48386780;0;0;Nee;Nee
C032;Waalzinnig;"Waalkade 18";"6511 XP";Nijmegen;"Waalkade 18";"6511 XP";Nijmegen;024-3236066;;;Nee;Nee
C178;"Café Albert";"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;024-3245115;;;Nee;Nee
C002;"Tapperij De Ronde Tafel";"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;024-3888000;;;Nee;Nee
C208;"Café Ergens";"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;"Arend Noorduijnstraat 30";"6512 BL";Nijmegen;"024 795 0366";0;0;Nee;Nee
C045;Maxim;"Burghardt van den Berghstraat 87";"6512 DG";Nijmegen;"Burghardt van den Berghstraat 87";"6512 DG";Nijmegen;024-3229706;;;Nee;Nee
C015;"De Kluizenaar";"Burghardt van den Berghstraat 94";"6512 DP";Nijmegen;"Burghardt van den Berghstraat 94";"6512 DP";Nijmegen;024-3221235;;;Nee;Nee
C071;"The Dog";"De Ruyterstraat 23";"6512 GA";Nijmegen;"De Ruyterstraat 23";"6512 GA";Nijmegen;024-3224733;;;Nee;Nee
C037;"We Gaan Beginnen";"De Ruyterstraat 26";"6512 GE";Nijmegen;"De Ruyterstraat 26";"6512 GE";Nijmegen;024-3242045;;;Nee;Nee
C282;"House of Billiards";"Graafseweg 39";6512BR;Nijmegen;"Graafseweg 39";6512BR;Nijmegen;0243605710;;;Ja;Ja
C103;"De Muk";"Daalsedwarsweg 21";"6521 EE";Nijmegen;"Daalsedwarsweg 21";"6521 EE";Nijmegen;024-3245800;;;Nee;Nee
C057;"Station Oost";"Daalseweg 17";"6521 GE";Nijmegen;"Daalseweg 17";"6521 GE";Nijmegen;06-54722386;;;Nee;Nee
C061;"'t Haantje";"Daalseweg 19";"6521 GE";Nijmegen;"Daalseweg 19";"6521 GE";Nijmegen;024-3230257;;;Nee;Nee
C186;"Café De Toorop";"Tooropstraat 221";"6521 NN";Nijmegen;"Tooropstraat 221";"6521 NN";Nijmegen;024-8486349;;;Nee;Nee
C059;"Bij Basje";"Tooropstraat 124";"6521 NT";Nijmegen;"Tooropstraat 124";"6521 NT";Nijmegen;024-3232638;;;Nee;Nee
C075;Trianon;"Berg en Dalseweg 33";"6522 BA";Nijmegen;"Berg en Dalseweg 33";"6522 BA";Nijmegen;024-3229189;;;Nee;Nee
C074;"The Shuffle";"Berg en Dalseweg 200";"6522 CD";Nijmegen;"Berg en Dalseweg 200";"6522 CD";Nijmegen;024-3220888;;;Nee;Nee
C211;"De Ark van Oost";"Cipresstraat  154";6523HR;Nijmegen;"Cipresstraat  154";6523HR;Nijmegen;024-3232227;;;Nee;Nee
C108;"Gymnasion Sportcafé";"Heyendaalseweg 141";"6525 AJ";Nijmegen;"Heyendaalseweg 141";"6525 AJ";Nijmegen;024-3612392;;;Nee;Nee
C182;"Café De Muts";"Heyendaalseweg 280";"6525 SL";Nijmegen;"Heyendaalseweg 280";"6525 SL";Nijmegen;024-3558361;;;Nee;Nee
C033;Goffertzicht;"Hazenkampseweg 312";"6531 NR";Nijmegen;"Hazenkampseweg 312";"6531 NR";Nijmegen;024-3550762;;;Nee;Nee
C255;"Café Piet Huisman";"St. Jacobslaan 30";"6533 BT";Nijmegen;"St. Jacobslaan 30";"6533 BT";Nijmegen;024-3552286;;;Ja;Nee
C001;Ammy's;"Libellenstraat 85";"6533 RM";Nijmegen;"Libellenstraat 85";"6533 RM";Nijmegen;06-19900019;;;Nee;Nee
C133;Heideroosje;"Heidebloemstraat 7-9";"6533 SL";Nijmegen;"Heidebloemstraat 7-9";"6533 SL";Nijmegen;024-3553310;;;Nee;Nee
C051;"S.V. Hatert";"Winkelsteegseweg 208";"6534 AR";Nijmegen;"Winkelsteegseweg 208";"6534 AR";Nijmegen;024-3552835;;;Ja;Nee
C101;Santé;"Couwenbergstraat 133";"6535 RX";Nijmegen;"Couwenbergstraat 133";"6535 RX";Nijmegen;024-3550321;;;Nee;Nee
C155;"Café Fusion";"Hatertseweg 755";"6535 ZK";Nijmegen;"Hatertseweg 755";"6535 ZK";Nijmegen;06-34718377;;;Nee;Nee
C065;"Septimo Cielo";"Hatertseweg 755";"6535 ZR";Nijmegen;"Hatertseweg 755";"6535 ZR";Nijmegen;024-3552988;;;Nee;Nee
C119;"Café Tribute";"Hatertseweg 755";"6535 ZR";Nijmegen;"Hatertseweg 755";"6535 ZR";Nijmegen;06-42600730;;;Nee;Nee
C197;"Café Hatert";"Couwenbergstraat 133";6535RX;Nijmegen;"Couwenbergstraat 133";6535RX;Nijmegen;06-24257841;0;0;Nee;Nee
C128;"Sportcentre Hara";"Meijhorst 60-02";"6537 KT";Nijmegen;"Meijhorst 60-02";"6537 KT";Nijmegen;024-3434530;;;Nee;Nee
C050;"Rugbyclub The Wasps";"Staddijk 111";"6537 TW";Nijmegen;"Staddijk 111";"6537 TW";Nijmegen;024-3446176;;;Nee;Nee
C044;Shamata;"Weurtseweg 105";"6541 AP";Nijmegen;"Weurtseweg 105";"6541 AP";Nijmegen;024-3779550;;;Nee;Nee
C257;"V.V. Krayenhoff";"Energieweg 49";"6541 CW";Nijmegen;"Energieweg 49";"6541 CW";Nijmegen;024-7507330;;;Nee;Nee
C041;Loonies;"Voorstadslaan 223";"6541 SN";Nijmegen;"Voorstadslaan 223";"6541 SN";Nijmegen;024-3785550;;;Nee;Nee
C099;"De Oude Stadswal";"Biezenstraat 162";"6541 ZX";Nijmegen;"Biezenstraat 162";"6541 ZX";Nijmegen;024-3786760;;;Nee;Nee
C154;"Café Zaal Elmeran";"Nieuwe Nonnendaalseweg 161";"6542 PE";Nijmegen;"Nieuwe Nonnendaalseweg 161";"6542 PE";Nijmegen;024-3784240;;;Nee;Nee
C104;"El Maran";"Nieuwe Nonnendaalseweg 161";"6542 PE";Nijmegen;"Nieuwe Nonnendaalseweg 161";"6542 PE";Nijmegen;024-3789103;;;Nee;Nee
C210;"Café De Driesprong";"Koninginnelaan 28";"6542 ZT";Nijmegen;"Koninginnelaan 28";"6542 ZT";Nijmegen;06-46848182;;;Ja;Nee
C243;"West End";"Molenweg 145";"6543 VB";Nijmegen;"Molenweg 145";"6543 VB";Nijmegen;024-3771312;;;Ja;Nee
C281;"Tennisvereniging Lindenholt";"De Wellenkamp 11-50";"6545 NC";Nijmegen;"De Wellenkamp 11-50";"6545 NC";Nijmegen;"024 3783783";;;Ja;Ja
C172;"Café Dorus";"Horstacker 14-37";"6546 EK";Nijmegen;"Horstacker 14-37";"6546 EK";Nijmegen;024-3788392;;;Nee;Nee
C225;"W.V.W. Weurt";"Wethouder Broekmanstraat 38";"6551 BE";Weurt;"Wethouder Broekmanstraat 38";"6551 BE";Weurt;024-6773331;;;Nee;Nee
C056;"Sporthal De Kloosterhof";"Kapittelweg 2a";"6551 EB";Weurt;"Kapittelweg 2a";"6551 EB";Weurt;024-6772018;;;Ja;Nee
C226;"Het Centrum";"Pastoor van der Marckstraat 7";"6551 ZN";Weurt;"Pastoor van der Marckstraat 7";"6551 ZN";Weurt;024-6771214;;;Nee;Nee
C105;"'t Sonneke";"Kerkstraat 2";"6551 ZZ";Weurt;"Kerkstraat 2";"6551 ZZ";Weurt;06-10947792;;;Nee;Nee
C019;"De Post";"Molenweg 5";"6561 AG";Groesbeek;"Molenweg 5";"6561 AG";Groesbeek;024-3977068;;;Nee;Nee
C004;Boslust;"Nijmeegsebaan 12";"6561 KG";Groesbeek;"Nijmeegsebaan 12";"6561 KG";Groesbeek;024-3971857;;;Nee;Nee
C176;"Sandra's Pub";"Stekkenberg 7";"6561 XE";Groesbeek;"Stekkenberg 7";"6561 XE";Groesbeek;024-3977192;;;Nee;Nee
C008;"Café Bar De Comm";"Dorpstraat 12";"6562 AB";Groesbeek;"Dorpstraat 12";"6562 AB";Groesbeek;024-3975043;;;Ja;Nee
C212;"Cafe De Ontmoeting";"Dorpstraat 4";"6562 AB";Groesbeek;"Dorpstraat 4";"6562 AB";Groesbeek;024-7504754;;;Nee;Nee
C042;"Ut Huu-ske";"Kloosterstraat 8";"6562 AW";Groesbeek;"Kloosterstraat 8";"6562 AW";Groesbeek;06-11875791;;;Ja;Nee
C107;Amigo;"Bredeweg 30";"6562 DE";Groesbeek;"Bredeweg 30";"6562 DE";Groesbeek;024-3974393;;;Nee;Nee
C161;"'t Mookertje";"Mooksestraat 26";"6562 ZV";Groesbeek;"Mooksestraat 26";"6562 ZV";Groesbeek;024-3973163;;;Nee;Nee
C187;"'t Mookertje";"Mooksestraat 26";"6562 ZV";Groesbeek;"Mooksestraat 26";"6562 ZV";Groesbeek;024-3973163;;;Nee;Nee
C266;"Café Zaal Hopmans";"Hoge Horst 56";6562LE;Groesbeek;"Hoge Horst 56";6562LE;Groesbeek;024-3971766;;;Ja;Nee
C183;"VOF De Poort";"Rijksweg 121";"6565 AC";Mook;"Rijksweg 121";"6565 AC";Mook;024-6961492;;;Nee;Nee
C202;"Grand café de M'ooije Waard";"Sint Willibrordstraat 20";"6566 DD";"Millingen aan de Rijn";"Sint Willibrordstraat 20";"6566 DD";"Millingen aan de Rijn";0481-434430;0;0;Nee;Nee
C123;"De Mallemolen - Millingen";"St. Willibrordstraat 20";"6566 DD";"Millingen ad Rijn";"St. Willibrordstraat 20";"6566 DD";"Millingen ad Rijn";06-23224151;;;Nee;Nee
C060;"'t Fuske";"St. Antoniusplein 8";"6566 EB";"Millingen a/d Rijn";"St. Antoniusplein 8";"6566 EB";"Millingen a/d Rijn";0481-434006;;;Nee;Nee
C038;"Janssen & Janssen";"Heerbaan 55";"6566 ED";"Millingen a/d Rijn";"Heerbaan 55";"6566 ED";"Millingen a/d Rijn";0650276924;;;Ja;Nee
C110;"De Kastanje";"Heerbaan 119";"6566 EG";"Millingen ad Rijn";"Heerbaan 119";"6566 EG";"Millingen ad Rijn";0481-431224;;;Nee;Nee
C153;"Gemeenschapshuis Kerstendal";"Kerstendalseweg 17";"6571 BM";"Berg en Dal";"Kerstendalseweg 17";"6571 BM";"Berg en Dal";024-6842964;;;Nee;Nee
C055;"Sous les Eglises";"Rijksstraatweg 124";"6573 DD";Beek-Ubbergen;"Rijksstraatweg 124";"6573 DD";Beek-Ubbergen;024-6841850;;;Nee;Nee
C175;"Café De Vink";"Koningin Julianalaan 20";"6576 AR";Ooij;"Koningin Julianalaan 20";"6576 AR";Ooij;024-6631334;;;Nee;Nee
C263;"Dorpshuis de Sprong";"Prins Bernardstraat 3";"6576 BB";Ooij;"Prins Bernardstraat 3";"6576 BB";Ooij;0246631932;;;Ja;Nee
C158;"Dorpshuis De Sprong";"Prins Bernhardstraat 3";"6576 BB";Ooij;"Prins Bernhardstraat 3";"6576 BB";Ooij;024-6631932;;;Nee;Nee
C142;"Zaal de Molen";"Rijksweg 111";"6581 EH";Malden;"Rijksweg 111";"6581 EH";Malden;024-3580176;;;Nee;Nee
C206;"De Heumense Molen";"Rijksweg 260";"6582 AC";Heumen;"Rijksweg 260";"6582 AC";Heumen;06-54322067;0;0;Nee;Nee
C233;"Heumens Bos";"Vosseneindseweg 46";"6582 BR ";Heumen;"Vosseneindseweg 46";"6582 BR ";Heumen;06-83708822;;;Ja;Nee
C017;"De Malle Jan";"Muldershofweg 3";"6586 AG";Plasmolen;"Muldershofweg 3";"6586 AG";Plasmolen;024-6962032;;;Nee;Nee
C145;"Café Kiste Trui";"Dorpsstraat 30";"6587 AZ";Middelaar;"Dorpsstraat 30";"6587 AZ";Middelaar;;;;Nee;Nee
C023;"De Typhoon";"Markt 8";"6591 BZ";Gennep;"Markt 8";"6591 BZ";Gennep;0485-512626;;;Ja;Nee
C024;"De Witte Olifant";"Zandstraat 78";"6591 DE";Gennep;"Zandstraat 78";"6591 DE";Gennep;0485-511623;;;Nee;Nee
C192;"De Dragonder";"Spoorstraat 103";"6591 GS";Gennep;"Spoorstraat 103";"6591 GS";Gennep;0485-513897;;;Nee;Nee
C171;"Café De Mouter";"Heijenseweg 2/4";"6591 HC";Gennep;"Heijenseweg 2/4";"6591 HC";Gennep;0485-540640;;;Nee;Nee
C067;"'t Swaantje";"St. Janstraat 46a";"6595 AD";Ottersum;"St. Janstraat 46a";"6595 AD";Ottersum;0485-511474;;;Nee;Nee
C149;"Het Centrum Milsbeek";"Kerkstraat 21";"6596 AK";Milsbeek;"Kerkstraat 21";"6596 AK";Milsbeek;0485-516324;;;Ja;Nee
C173;"Café D'n Dörpel";"Langstraat 24";"6596 BP";Milsbeek;"Langstraat 24";"6596 BP";Milsbeek;0485-516260;;;Nee;Nee
C256;"Café De Klok";"Kleefseweg 26";"6599 AC";Ven-Zelderheide;"Kleefseweg 26";"6599 AC";Ven-Zelderheide;0485-212721;;;Ja;Nee
C269;"Café het Wilde Zwijn";"Vensestraat 23";"6599 AN";Ven-Zelderheide;"Vensestraat 23";"6599 AN";Ven-Zelderheide;0485-518160;;;Nee;Nee
C115;"'t Achterom";"Homberg 25-35";"6601 XW";Wijchen;"Homberg 25-35";"6601 XW";Wijchen;024-6415114;;;Nee;Nee
C273;"Café ZUS";"Spoorstraat 4";"6602 AZ";Wijchen;"Spoorstraat 4";"6602 AZ";Wijchen;0621268905;;;Ja;Nee
C085;"De Arend";"Kasteellaan 8";"6602 DE";Wijchen;"Kasteellaan 8";"6602 DE";Wijchen;024-6412292;;;Nee;Nee
C244;"V.V. Alverna";"Bospad 5";"6603 AR";Wijchen;"Bospad 5";"6603 AR";Wijchen;024-6413010;;;Ja;Nee
C021;"Café De Teersdijk";"Graafseweg 985";"6603 CH";Wijchen;"Graafseweg 985";"6603 CH";Wijchen;024-6412529;;;Ja;Nee
C207;"Café 't Kloster";"Graafseweg 598";"6603 CM";Alverna;"Graafseweg 598";"6603 CM";Alverna;06-21209128;0;0;Nee;Nee
C164;"'t Hart van Alverna";"Heumenseweg 9";"6603 CW";Wijchen;"Heumenseweg 9";"6603 CW";Wijchen;024-6454250;;;Nee;Nee
C180;"Old Dutch";"Teersdijk 45";"6603 KJ";Wijchen;"Teersdijk 45";"6603 KJ";Wijchen;024-6412438;;;Nee;Nee
C082;"Zaal Verploegen";"Woeziksestraat 100";"6604 CM";Wijchen;"Woeziksestraat 100";"6604 CM";Wijchen;024-6413000;;;Nee;Nee
C132;"De Zon";"Hoogstraat 56";"6611 BZ";Overasselt;"Hoogstraat 56";"6611 BZ";Overasselt;024-6221584;;;Ja;Nee
C185;"Dorpshuis De Hucht";"Schoolstraat 4";"6626 AC";Alphen;"Schoolstraat 4";"6626 AC";Alphen;0487-561714;;;Ja;Nee
